Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",126.000000,-65.000000,-90.000000,top
"C2","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",124.000000,-58.000000,0.000000,top
"C3","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",128.500000,-65.000000,-90.000000,top
"C4","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",113.500000,-75.137500,-90.000000,top
"C5","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",123.000000,-79.500000,0.000000,top
"C6","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",124.500000,-86.500000,-90.000000,top
"C7","1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",126.500000,-86.500000,-90.000000,top
"C9","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",111.500000,-69.000000,-90.000000,top
"C10","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",113.500000,-102.500000,0.000000,top
"C11","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",116.500000,-99.500000,90.000000,top
"C12","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",131.850000,-98.250000,0.000000,top
"C13","470pF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",136.500000,-92.750000,-90.000000,top
"C14","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",124.500000,-92.750000,0.000000,top
"C15","1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",118.525000,-132.792500,-90.000000,top
"C16","1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",117.500000,-135.750000,180.000000,top
"C17","100uF","CP_Radial_D10.0mm_P5.00mm",148.000000,-119.632323,-90.000000,top
"C18","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",111.250000,-119.000000,-90.000000,top
"C19","4.7uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",128.000000,-112.750000,90.000000,top
"C20","33pF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",126.250000,-135.500000,0.000000,top
"C21","100pF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",129.750000,-125.250000,0.000000,top
"C22","470pF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",129.500000,-128.387500,90.000000,top
"C23","10nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",134.000000,-128.387500,-90.000000,top
"C24","100uF","CP_Radial_D10.0mm_P5.00mm",135.250000,-110.117677,90.000000,top
"C25","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",109.250000,-142.500000,180.000000,top
"C26","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",135.750000,-56.500000,90.000000,top
"C27","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",130.000000,-55.000000,180.000000,top
"D1","SD103AW-7-F","D_SOD-123_HandSolder",120.000000,-76.500000,180.000000,top
"D2","B260AE-13","D_SMA_Handsoldering",125.250000,-117.750000,180.000000,top
"J1","YK3210203000G","YK3210203000G",99.460000,-67.370000,90.000000,top
"J2","YK3210203000G","YK3210203000G",148.000000,-107.500000,-90.000000,top
"J3","USB4085-GF-A","USB4085-GF-A",94.000000,-101.750000,-90.000000,top
"J4","USB4085-GF-A","USB4085-GF-A",93.960000,-85.675000,-90.000000,top
"J6","USB-A-S-RA","USB-A-S-RA",93.970000,-121.180000,-90.000000,top
"J7","PH1-03-UA","PinHeader_1x03_P2.54mm_Vertical",147.750000,-57.920000,0.000000,top
"L1","33uH","L_Radial_D8.7mm_P5.00mm_Fastron_07HCP",115.980000,-108.500000,-90.000000,top
"Q1","DMN6140L-13","SOT-23-3",118.000000,-67.500000,90.000000,top
"Q2","DMT616MLSS-13","SOIC-8_3.9x4.9mm_P1.27mm_HandSolder",144.000000,-94.000000,0.000000,top
"Q3","DMN6140L-13","SOT-23-3",121.750000,-136.750000,90.000000,top
"Q4","DMT616MLSS-13","SOIC-8_3.9x4.9mm_P1.27mm_HandSolder",116.115000,-120.725000,90.000000,top
"Q5","MMBT3904-7-F","SOT-23",123.000000,-123.750000,180.000000,top
"R1","1M","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",126.000000,-61.250000,-90.000000,top
"R2","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",121.500000,-67.500000,90.000000,top
"R3","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",119.087500,-79.500000,180.000000,top
"R4","1M","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",124.500000,-83.000000,-90.000000,top
"R5","33m","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",144.000000,-88.000000,0.000000,top
"R6","24k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",119.500000,-100.250000,0.000000,top
"R7","560","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",144.750000,-80.000000,90.000000,top
"R8","49.9","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",137.500000,-89.500000,180.000000,top
"R9","2","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",136.500000,-96.750000,90.000000,top
"R10","10","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",118.250000,-128.250000,90.000000,top
"R11","200mOhm","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",115.615000,-127.000000,90.000000,top
"R12","0","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",116.250000,-132.792500,90.000000,top
"R13","3.16k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",131.750000,-128.387500,90.000000,top
"R14","249","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",121.750000,-140.250000,0.000000,top
"R15","4.99k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",130.500000,-131.500000,0.000000,top
"R16","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",130.500000,-133.500000,180.000000,top
"R17","11k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",123.250000,-127.000000,180.000000,top
"R18","24.9k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",134.000000,-124.387500,90.000000,top
"R19","0","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",114.500000,-62.750000,180.000000,top
"R20","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",113.750000,-66.000000,90.000000,top
"R21","0","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",126.500000,-126.000000,90.000000,top
"R22","13.7k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",137.250000,-129.250000,0.000000,top
"R23","27","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",113.750000,-138.250000,0.000000,top
"R24","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",137.000000,-61.500000,-90.000000,top
"R25","27","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",128.500000,-58.000000,90.000000,top
"R26","0","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",134.750000,-133.500000,0.000000,top
"R27","0","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",134.750000,-135.500000,180.000000,top
"RV1","3362W-1-501LF","3362W-1-501LF",128.250000,-137.690000,180.000000,top
"RV2","3362W-1-501LF","3362W-1-501LF",146.940000,-78.960000,-90.000000,top
"U1","UCC2813DTR-3","SOIC-8_3.9x4.9mm_P1.27mm_HandSolder",123.775000,-131.292500,180.000000,top
"U2","REF3025AIDBZR","SOT-23-3",113.500000,-99.250000,90.000000,top
"U3","OPA357AIDBVR","SOT-23-6_Handsoldering",132.500000,-95.000000,180.000000,top
"U4","TS5A3157DBVR","SOT-23-6_Handsoldering",123.500000,-96.500000,90.000000,top
"U6","TLC555IDR","SOIC-8_3.9x4.9mm_P1.27mm_HandSolder",120.650000,-62.000000,0.000000,top
"U7","SN74LVC1G08DBVR","SOT-23-5_HandSoldering",110.450000,-64.250000,-90.000000,top
"U8","TLC555IDR","SOIC-8_3.9x4.9mm_P1.27mm_HandSolder",119.500000,-83.500000,0.000000,top
"U9","SN74LVC1G17DBVR","SOT-23-5_HandSoldering",114.250000,-141.500000,180.000000,top
"U10","SN74LVC1T45DBV","SOT-23-6",132.137500,-58.200000,0.000000,top
"Z1","0R","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",130.500000,-135.500000,180.000000,top
