Ref,Val,Package,PosX,PosY,Rot,Side
D6,VSMA1085400,VSMA1085400,26.2636,-9.9996,-90,top
D7,VSMA1085400,VSMA1085400,21.9456,-9.9996,-90,top
D8,VSMA1085400,VSMA1085400,17.526,-9.9996,-90,top
D9,VSMA1085400,VSMA1085400,13.1572,-9.9996,-90,top
D10,VSMA1085400,VSMA1085400,8.636,-9.9996,-90,top
D11,VSMA1085400,VSMA1085400,26.2636,-14.978,-90,top
D12,VSMA1085400,VSMA1085400,21.9456,-14.978,-90,top
D13,VSMA1085400,VSMA1085400,17.526,-14.978,-90,top
D14,VSMA1085400,VSMA1085400,13.1572,-14.978,-90,top
D15,VSMA1085400,VSMA1085400,8.6868,-14.978,-90,top
