"Reference","Qty","Manufacturer","Part Number","Footprint"
"C1","1","KEMET","A750BK107M1AAAE024","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm"
"C2,C11","2","Vishay Beyschlag/Draloric/BC Components","K105K20X7RF5TH5","Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm"
"C3,C8,C10,C12,C14,C15","6","Vishay Beyschlag/Draloric/BC Components","K104K10X7RF5UH5","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm"
"C4","1","Vishay Beyschlag/Draloric/BC Components","K471J15C0GF5UH5","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm"
"C5","1","Murata Electronics","RDER72A105K2M1H03A","Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm"
"C6","1","KEMET","A750MW337M1HAAE020","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm"
"C7","1","Vishay Beyschlag/Draloric/BC Components","K104K20X7RH5UH5","Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm"
"C9","1","Murata Electronics","RCER71H475K3K1H03B","Capacitor_THT:C_Disc_D6.0mm_W4.4mm_P5.00mm"
"D1","1","Vishay General Semiconductor - Diodes Division","SB150-E3/73","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal"
"D2","1","Lite-On Inc.","LTL-307G","LED_THT:LED_D5.0mm"
"D3,D4","2","Vishay General Semiconductor - Diodes Division","SD103A-TR","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal"
"D5","1","Lite-On Inc.","LTL-307E","LED_THT:LED_D5.0mm"
"D6,D7,D8,D9,D10,D11,D12,D13,D14,D15","10","Vishay Semiconductor Opto Division","VSMA1085400","Pi Connector Parts:VSMA1085400"
"J1,J4","2","Amphenol Anytek","YK3210203000G","Pi Connector Parts:YK3210203000G"
"J2,J5","2","GCT","USB4085-GF-A","Pi Connector Parts:USB4085-GF-A"
"J3","1","Adam Tech","PH1-08-UA","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical"
