Ref,Val,Package,PosX,PosY,Rot,Side
C1,A750BK107M1AAAE024,CP_Radial_D5.0mm_P2.00mm,10.71946,-61.752546,0,top
C2,K105K20X7RF5TH5,C_Disc_D5.1mm_W3.2mm_P5.00mm,22.044201,-43.445786,90,top
C3,K104K10X7RF5UH5,C_Disc_D4.3mm_W1.9mm_P5.00mm,25.202141,-43.445634,90,top
C4,K471J15C0GF5UH5,C_Disc_D4.7mm_W2.5mm_P5.00mm,35.193847,-37.801991,180,top
C5,RDER72A105K2M1H03A,C_Disc_D5.1mm_W3.2mm_P5.00mm,46.091572,-41.091546,-90,top
C6,A750MW337M1HAAE020,CP_Radial_D10.0mm_P5.00mm,44.241206,-35.506534,90,top
C7,K104K20X7RH5UH5,C_Disc_D5.1mm_W3.2mm_P5.00mm,41.057602,-60.856469,90,top
C8,K104K10X7RF5UH5,C_Disc_D4.3mm_W1.9mm_P5.00mm,31.672261,-67.863425,-90,top
C9,RCER71H475K3K1H03B,C_Disc_D6.0mm_W4.4mm_P5.00mm,38.510618,-67.869412,-90,top
C10,K104K10X7RF5UH5,C_Disc_D4.3mm_W1.9mm_P5.00mm,42.294944,-67.856003,-90,top
C11,K105K20X7RF5TH5,C_Disc_D5.1mm_W3.2mm_P5.00mm,17.643572,-95.788546,180,top
C12,K104K10X7RF5UH5,C_Disc_D4.3mm_W1.9mm_P5.00mm,17.643572,-92.613546,180,top
C14,K104K10X7RF5UH5,C_Disc_D4.3mm_W1.9mm_P5.00mm,17.643572,-98.836546,-90,top
C15,K104K10X7RF5UH5,C_Disc_D4.3mm_W1.9mm_P5.00mm,46.792608,-54.880863,90,top
D1,SB150-E3/73,D_DO-41_SOD81_P10.16mm_Horizontal,37.941925,-38.366552,-90,top
D2,LTL-307G,LED_D5.0mm,24.113987,-30.938792,0,top
D4,SD103A-TR,D_DO-35_SOD27_P7.62mm_Horizontal,47.869572,-90.200546,0,top
D5,LTL-307E,LED_D5.0mm,33.518572,-86.517546,90,top
D6,VSMA1085400,VSMA1085400,26.2636,-9.9996,-90,top
D7,VSMA1085400,VSMA1085400,21.9456,-9.9996,-90,top
D8,VSMA1085400,VSMA1085400,17.526,-9.9996,-90,top
D9,VSMA1085400,VSMA1085400,13.1572,-9.9996,-90,top
D10,VSMA1085400,VSMA1085400,8.636,-9.9996,-90,top
D11,VSMA1085400,VSMA1085400,26.2636,-14.978,-90,top
D12,VSMA1085400,VSMA1085400,21.9456,-14.978,-90,top
D13,VSMA1085400,VSMA1085400,17.526,-14.978,-90,top
D14,VSMA1085400,VSMA1085400,13.1572,-14.978,-90,top
D15,VSMA1085400,VSMA1085400,8.6868,-14.978,-90,top
J1,YK3210203000G,YK3210203000G,6.211891,-44.981275,90,top
J2,USB4085-GF-A,USB4085-GF-A,0.037259,-70.133905,-90,top
J3,PH1-08-UA,PinHeader_1x08_P2.54mm_Vertical,22.723572,-120.623546,90,top
J4,YK3210203000G,YK3210203000G,53.792074,-44.893332,-90,top
J5,USB4085-GF-A,USB4085-GF-A,-0.000237,-87.050997,-90,top
J6,USB1125-GF-B,USB1125-GF-B,0.003091,-107.8099,-90,top
L1,RLB0914-330KL,L_Radial_D8.7mm_P5.00mm_Fastron_07HCP,30.202862,-54.733021,0,top
Q1,IRLU024NPBF,TO-251-3_Vertical,51.327999,-54.869867,0,top
Q2,IRLU024NPBF,TO-251-3_Vertical,53.61545,-57.792348,0,top
Q3,TN2106N3-G,TO-92_Inline_Wide,48.123572,-82.961546,180,top
Q4,2N3904TFR,TO-92_Inline_Wide,28.144635,-72.93446,90,top
R1,PNP300JR-73-0R15,R_Axial_DIN0516_L15.5mm_D5.0mm_P20.32mm_Horizontal,26.531401,-56.063984,180,top
R2,KNP1WSJT-52-180R,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,26.90586,-51.697821,180,top
R3,MFR-25FRF52-60K4,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,29.771239,-34.710644,0,top
R4,MFR-25FRF52-2K2,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,19.956272,-35.771652,0,top
R5,MFR-25FTE52-2K49,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,13.402748,-30.922127,0,top
R6,MFR-25FRF52-1K,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,34.474781,-75.484558,90,top
R7,MFR-25FRF52-75K,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,26.185811,-65.214925,0,top
