Ref,Val,Package,PosX,PosY,Rot,Side
C1,A750BK107M1AAAE024,CP_Radial_D5.0mm_P2.00mm,10.71946,-35.141346,0,top
C2,K105K20X7RF5TH5,C_Disc_D5.1mm_W3.2mm_P5.00mm,22.044201,-16.834586,90,top
C3,K104K10X7RF5UH5,C_Disc_D4.3mm_W1.9mm_P5.00mm,25.202141,-16.834434,90,top
C4,K471J15C0GF5UH5,C_Disc_D4.7mm_W2.5mm_P5.00mm,35.193847,-11.190791,180,top
C5,RDER72A105K2M1H03A,C_Disc_D5.1mm_W3.2mm_P5.00mm,46.091572,-14.480346,-90,top
C6,A750MW337M1HAAE020,CP_Radial_D10.0mm_P5.00mm,44.241206,-8.895334,90,top
C7,K104K20X7RH5UH5,C_Disc_D5.1mm_W3.2mm_P5.00mm,41.057602,-34.245269,90,top
C8,K104K10X7RF5UH5,C_Disc_D4.3mm_W1.9mm_P5.00mm,31.672261,-41.252225,-90,top
C9,RCER71H475K3K1H03B,C_Disc_D6.0mm_W4.4mm_P5.00mm,38.510618,-41.258212,-90,top
C10,K104K10X7RF5UH5,C_Disc_D4.3mm_W1.9mm_P5.00mm,42.294944,-41.244803,-90,top
C11,K105K20X7RF5TH5,C_Disc_D5.1mm_W3.2mm_P5.00mm,17.643572,-69.177346,180,top
C12,K104K10X7RF5UH5,C_Disc_D4.3mm_W1.9mm_P5.00mm,17.643572,-66.002346,180,top
C14,K104K10X7RF5UH5,C_Disc_D4.3mm_W1.9mm_P5.00mm,17.643572,-72.225346,-90,top
C15,K104K10X7RF5UH5,C_Disc_D4.3mm_W1.9mm_P5.00mm,46.792608,-28.269663,90,top
D1,SB150-E3/73,D_DO-41_SOD81_P10.16mm_Horizontal,37.941925,-11.755352,-90,top
D2,LTL-307G,LED_D5.0mm,24.113987,-4.327592,0,top
D3,SD103A-TR,D_DO-35_SOD27_P7.62mm_Horizontal,45.583572,-63.589346,180,top
D4,SD103A-TR,D_DO-35_SOD27_P7.62mm_Horizontal,47.869572,-63.589346,0,top
D5,LTL-307E,LED_D5.0mm,33.518572,-59.906346,90,top
J1,YK3210203000G,YK3210203000G,6.211891,-18.370075,90,top
J2,USB4085-GF-A,USB4085-GF-A,0.037259,-43.522705,-90,top
J3,PH1-08-UA,PinHeader_1x08_P2.54mm_Vertical,22.723572,-94.012346,90,top
J4,YK3210203000G,YK3210203000G,53.792074,-18.282132,-90,top
J5,USB4085-GF-A,USB4085-GF-A,-0.000237,-60.439797,-90,top
J6,USB1125-GF-B,USB1125-GF-B,0.003091,-81.1987,-90,top
L1,RLB0914-330KL,L_Radial_D8.7mm_P5.00mm_Fastron_07HCP,30.202862,-28.121821,0,top
Q1,IRLU024NPBF,TO-251-3_Vertical,51.327999,-28.258667,0,top
Q2,IRLU024NPBF,TO-251-3_Vertical,53.61545,-31.181148,0,top
Q3,TN2106N3-G,TO-92_Inline_Wide,48.123572,-56.350346,180,top
Q4,2N3904TFR,TO-92_Inline_Wide,28.144635,-46.32326,90,top
R1,PNP300JR-73-0R15,R_Axial_DIN0516_L15.5mm_D5.0mm_P20.32mm_Horizontal,26.531401,-29.452784,180,top
R2,KNP1WSJT-52-180R,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,26.90586,-25.086621,180,top
R3,MFR-25FRF52-60K4,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,29.771239,-8.099444,0,top
R4,MFR-25FRF52-2K2,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,19.956272,-9.160452,0,top
R5,MFR-25FTE52-2K49,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,13.402748,-4.310927,0,top
R7,MFR-25FRF52-75K,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,26.185811,-38.603725,0,top
R8,MFR-25FRF52-1K,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,37.963572,-60.668346,0,top
R9,MFR-25FTE52-120R,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,38.979572,-53.683346,180,top
R10,KNP100JR-73-0R1,R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal,56.940066,-49.24642,90,top
R11,MFR-25FRF52-604R,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,14.468572,-63.589346,90,top
R12,MFR-25FBF52-6K04,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,26.172047,-35.493048,0,top
R13,MFR-25FRF52-2K,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,16.357262,-35.497373,0,top
R14,MFR-25FRF52-3K,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,23.971883,-38.609822,180,top
R15,MFR-25FRF52-10K,R_Axial_DIN0207_L6.3mm_D2.5mm_P15.24mm_Horizontal,35.423572,-90.513346,180,top
R16,ZOR-25-R-52-0R,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,24.250441,-42.754031,180,top
R17,MFR-25FRF52-200R,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,16.630441,-45.840855,0,top
R18,MFR-25FRF52-10K,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,22.088572,-86.703346,180,top
R19,ZOR-25-R-52-0R,R_Axial_DIN0207_L6.3mm_D2.5mm_P15.24mm_Horizontal,25.4,-85.9536,0,top
